Año  ;Código Único  ;Tipo Institución 1  ;Tipo Institución 2  ;Tipo Institución 3  ;Región Sede  ;Provincia Sede  ;Comuna Sede  ;Área del conocimiento  ;Cine-F 97 Área;Cine-F 97 Subárea;Área Carrera Genérica;Cine-F 13 Área;Cine-F 13 Subárea;Tipo de institución  ;Código IES  ;Nombre IES  ;Código Sede  ;Nombre Sede  ;Código Carrera  ;Nombre Carrera  ;Modalidad  ;Jornada  ;Versión  ;Tipo Carrera  ;Plan Especial  ;Duración Estudios  ;Duración Titulación  ;Duración Total  ;Régimen ;Duración formal del Régimen ;Nombre Título  ;Grado Académico  ;Nivel Global  ;Nivel Carrera  ;Demre;Año Inicio  ;Acreditación Carrera o Programa ;Elegibilidad Beca Pedagogía  ;Pedagogía Medicina Odontología, Otro  ;Requisito Ingreso  ;Semestres reconocidos ;Área Actual  ;Área Dest Agricultura  ;Área Dest Ciencias  ;Área Dest C Soc Comerc Derecho  ;Área Dest Educación  ;Área Dest Humanidades y Artes   ;Área Dest Ing Ind Const  ;Área Dest Salud y Serv Soc  ;Área Dest Servicios  ;Ponderación Notas  ;Ponderación Ranking Notas  ;Ponderación Lenguaje  ;Ponderación Matemáticas  ;Ponderación Historia  ;Ponderación Ciencias  ;Ponderación Otros  ;Vacantes Semestre Uno  ;Vacantes Semestre Dos  ;Formato Valor;Matrícula Anual  ;Costo Titulación  ;Costo Certificado Diploma  ;Arancel Anual  ;Vigencia  
OFE_2022;I143S0C100J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Educación;Educación;Formación de Personal Docente y Ciencias de la Educación;Psicopedagogía;Educación;Educación;D;143;IP AIEP;0;SEDE LOS ANGELES;100;PSICOPEDAGOGIA;Presencial;Diurno;1;Plan Regular;NO APLICA;8;1;8;1;8;PSICOPEDAGOGO;;Pregrado;Profesional Sin Licenciatura;;2012;No Acreditada;No Elegible;;Educación Media;0;4;0;0;0;0;0;0;0;0;;;;;;;;25;0;Monto en Pesos;200000;200000;0;1820000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C100J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Educación;Educación;Formación de Personal Docente y Ciencias de la Educación;Psicopedagogía;Educación;Educación;D;143;IP AIEP;0;SEDE LOS ANGELES;100;PSICOPEDAGOGIA;Presencial;Vespertino;2;Plan Regular;NO APLICA;8;1;8;1;8;PSICOPEDAGOGO;;Pregrado;Profesional Sin Licenciatura;;2017;No Acreditada;No Elegible;;Educación Media;0;4;0;0;0;0;0;0;0;0;;;;;;;;15;0;Monto en Pesos;200000;200000;0;1830000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C111J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;111;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;Presencial;Diurno;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;;Pregrado;Profesional Sin Licenciatura;;2021;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1871000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C111J2V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;111;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;Presencial;Vespertino;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;;Pregrado;Profesional Sin Licenciatura;;2013;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1871000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C111J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;111;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;Presencial;Vespertino;2;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;;Pregrado;Profesional Sin Licenciatura;;2016;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;14;0;Monto en Pesos;200000;200000;0;1878000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C112J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;112;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION MARKETING;Presencial;Diurno;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION MARKETING;;Pregrado;Profesional Sin Licenciatura;;2021;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1871000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C112J2V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;112;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION MARKETING;Presencial;Vespertino;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION MARKETING;;Pregrado;Profesional Sin Licenciatura;;2021;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1871000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C113J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;113;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS;Presencial;Diurno;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS CON MENCION RECURSOS HUMANOS;;Pregrado;Profesional Sin Licenciatura;;2021;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1871000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C113J2V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;113;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS;Presencial;Vespertino;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS CON MENCION RECURSOS HUMANOS;;Pregrado;Profesional Sin Licenciatura;;2018;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;29;0;Monto en Pesos;200000;200000;0;1878000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C113J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;113;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS;Presencial;Vespertino;2;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS CON MENCION RECURSOS HUMANOS;;Pregrado;Profesional Sin Licenciatura;;2013;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1871000;Vigente con Alumnos Nuevos
